user_id,login_frequency,avg_session_duration,actions_per_session,days_since_last_login,total_sessions,label
U131,23,48.34541132597042,32,0,87,high_activity
U421,13,34.617516429668115,21,22,75,irregular_usage
U469,11,45.28350764750266,45,3,19,irregular_usage
U56,23,55.689728756342774,20,1,117,high_activity
U286,2,6.299164823503383,2,27,11,low_activity
U356,23,45.029334955454146,10,16,71,irregular_usage
U73,21,30.542260908465625,43,0,111,high_activity
U323,3,5.626310677984221,4,16,8,low_activity
U321,4,2.525669115426819,2,23,1,low_activity
U77,28,52.325115691696865,35,1,87,high_activity
U127,23,46.584599307237234,23,0,95,high_activity
U449,22,11.543683035917491,28,6,54,irregular_usage
U304,4,3.4242877349580114,2,27,11,low_activity
U430,15,13.984155443512098,44,6,63,irregular_usage
U16,24,41.08963368184213,35,1,106,high_activity
U332,2,4.986474530238024,1,24,2,low_activity
U400,19,8.609920448958793,38,23,24,irregular_usage
U225,3,7.951570340581416,3,17,14,low_activity
U215,4,4.679244917256689,3,22,11,low_activity
U380,23,9.081499101529479,26,27,47,irregular_usage
U345,13,5.488542370959183,29,25,17,irregular_usage
U7,22,30.99152198701645,40,1,87,high_activity
U92,20,55.9250269521571,20,0,93,high_activity
U348,17,9.393324957241667,5,10,67,irregular_usage
U475,10,7.854342804465743,15,5,88,irregular_usage
U106,24,47.16877407512515,32,0,112,high_activity
U275,3,9.366735060938979,3,21,3,low_activity
U289,3,4.7756256151698215,1,28,3,low_activity
U201,1,5.015555435399261,1,25,4,low_activity
U85,27,59.36678574825027,39,0,109,high_activity
U36,24,45.5325405158244,44,0,97,high_activity
U89,27,40.50235223084027,22,1,94,high_activity
U361,22,40.32378632434506,8,3,26,irregular_usage
U84,20,47.696125426816316,46,0,84,high_activity
U31,28,54.28503138419146,45,0,89,high_activity
U381,11,8.01760419952819,28,8,23,irregular_usage
U291,1,5.617743527118457,4,21,12,low_activity
U210,2,9.251776887716375,2,15,1,low_activity
U41,28,46.24343921482698,34,1,104,high_activity
U167,29,41.96462704334384,36,0,114,high_activity
U179,2,9.7202152853321,2,20,14,low_activity
U299,4,4.899151192933065,2,29,9,low_activity
U367,11,48.54845618730428,8,0,39,irregular_usage
U462,7,13.352095395047494,43,6,52,irregular_usage
U330,1,8.894284968108138,2,21,8,low_activity
U371,21,45.74125568732561,33,9,39,irregular_usage
U178,2,8.644955262301833,4,17,13,low_activity
U168,23,43.005622127422264,49,1,94,high_activity
U259,3,6.5210654687136715,4,26,1,low_activity
U197,3,9.017604326504866,3,15,14,low_activity
U5,26,59.29844867497958,28,0,103,high_activity
U74,24,44.81681145550304,24,0,113,high_activity
U208,2,5.071129770985691,2,23,14,low_activity
U64,29,41.16848299685229,24,0,96,high_activity
U93,24,36.90555804724666,48,0,81,high_activity
U166,20,31.232025503036272,36,0,87,high_activity
U46,24,45.49907673813043,39,0,113,high_activity
U35,26,41.92716063262567,41,1,80,high_activity
U363,6,51.81061231218449,40,3,21,irregular_usage
U439,23,30.74086769648451,2,24,50,irregular_usage
U317,1,3.5255017653093326,3,15,13,low_activity
U81,26,45.264422305162796,21,1,82,high_activity
U182,3,9.506723654568303,1,29,9,low_activity
U461,11,40.33886084427229,15,9,41,irregular_usage
U185,3,7.928965194320472,1,20,9,low_activity
U107,22,59.40994751148137,31,1,103,high_activity
U301,2,7.058114303356243,3,17,9,low_activity
U305,3,9.68856253975564,1,16,2,low_activity
U250,1,5.6960464291530615,4,15,1,low_activity
U61,23,53.560219533418305,45,1,89,high_activity
U414,6,26.930770959479524,25,4,16,irregular_usage
U426,6,41.65565112076405,49,4,19,irregular_usage
U310,4,6.017560082649941,3,24,11,low_activity
U137,28,41.90351481641665,40,0,111,high_activity
U240,4,7.760292292368595,4,21,5,low_activity
U262,2,7.657909074507189,2,24,4,low_activity
U342,12,35.90778671590596,21,16,11,irregular_usage
U370,18,21.972509627140305,4,12,74,irregular_usage
U194,2,7.321577765569601,4,17,1,low_activity
U143,28,50.16078405885598,28,0,100,high_activity
U298,1,9.3187672085448,2,28,10,low_activity
U418,21,50.035093200562926,12,11,24,irregular_usage
U424,15,36.14832917817414,25,21,87,irregular_usage
U145,20,34.65124850183233,22,1,97,high_activity
U161,25,50.98536632301581,42,1,109,high_activity
U45,29,59.46505029988307,49,1,112,high_activity
U295,4,3.4110958920497865,1,24,9,low_activity
U328,4,3.2419219674457,2,28,10,low_activity
U47,21,37.82487524491227,24,0,114,high_activity
U365,17,32.06481676505352,12,6,12,irregular_usage
U116,24,57.90050504432496,45,0,89,high_activity
U207,3,9.196596586196549,4,23,5,low_activity
U146,20,59.45522664931593,36,0,107,high_activity
U296,2,5.986942181915838,1,21,2,low_activity
U335,1,5.269873368784771,4,25,13,low_activity
U346,17,21.323065412199593,32,24,31,irregular_usage
U94,29,44.97580139654257,38,0,90,high_activity
U241,2,7.129181063082378,2,15,3,low_activity
U176,2,4.790946132343962,3,21,14,low_activity
U294,3,3.126856163038399,2,25,3,low_activity
U442,5,13.176193629251138,3,6,22,irregular_usage
U100,27,38.38681025390276,20,1,97,high_activity
U212,1,2.9351843256669126,1,23,8,low_activity
U463,16,13.380960814415882,48,12,11,irregular_usage
U58,25,56.633102962828794,49,1,102,high_activity
U372,13,9.005742319233757,1,14,30,irregular_usage
U76,29,40.9940635374858,23,0,110,high_activity
U467,19,28.731543787490693,44,4,14,irregular_usage
U404,24,48.413625270419026,18,6,51,irregular_usage
U398,22,14.977122546457256,46,3,31,irregular_usage
U110,22,35.72733093451038,48,1,96,high_activity
U63,21,47.42059864309364,41,1,98,high_activity
U373,21,49.74083280302638,19,26,79,irregular_usage
U484,22,7.078642952519605,19,4,25,irregular_usage
U435,20,29.613892822401738,8,12,89,irregular_usage
U270,3,5.606714971233057,1,21,2,low_activity
U159,29,35.83140101984619,42,0,105,high_activity
U147,28,55.1680050620809,22,1,101,high_activity
U456,12,21.850158821564314,48,13,29,irregular_usage
U158,22,55.26069225035944,36,0,88,high_activity
U162,27,34.15059277253404,44,1,96,high_activity
U249,1,5.206811334109119,2,19,9,low_activity
U440,9,22.961668469988286,46,1,15,irregular_usage
U457,19,46.44416829413047,37,18,27,irregular_usage
U55,27,55.399834267149174,23,0,84,high_activity
U316,2,3.6411171238560573,1,22,12,low_activity
U80,28,46.276206916646984,42,0,113,high_activity
U216,1,3.114176581307098,4,24,10,low_activity
U280,3,2.4380931105762507,1,23,9,low_activity
U265,3,6.853720371062847,2,24,13,low_activity
U452,20,16.802523167323198,25,10,41,irregular_usage
U313,2,7.999683763193422,4,26,2,low_activity
U71,27,59.83372387832462,45,1,80,high_activity
U331,3,9.568923697069062,3,17,8,low_activity
U403,7,28.131147836965816,34,27,58,irregular_usage
U251,2,9.578266716894522,4,21,10,low_activity
U415,18,41.262883020756824,21,14,61,irregular_usage
U57,21,42.1352438136657,49,1,82,high_activity
U470,21,34.267718219837604,21,2,11,irregular_usage
U4,24,38.003430428258554,42,0,91,high_activity
U336,4,2.203090845282759,3,21,13,low_activity
U383,13,12.977234005659417,6,8,32,irregular_usage
U202,4,5.7014382853568515,2,16,2,low_activity
U325,1,5.526101975505825,2,27,14,low_activity
U103,26,58.5921554107186,30,1,106,high_activity
U399,18,39.01141212156457,4,17,52,irregular_usage
U374,12,32.37961880768681,31,12,31,irregular_usage
U307,1,5.31699298981619,1,19,12,low_activity
U491,10,48.39591472600111,29,17,45,irregular_usage
U37,28,55.131303177219834,48,0,111,high_activity
U154,27,54.836070113627656,42,0,113,high_activity
U454,18,13.487895254377037,5,23,40,irregular_usage
U492,13,27.736992781692955,47,2,47,irregular_usage
U24,25,34.521526318962884,26,0,92,high_activity
U384,6,48.589178329610085,9,14,75,irregular_usage
U263,3,3.2203123433140908,3,23,10,low_activity
U364,18,7.598564182573621,49,21,17,irregular_usage
U125,20,34.098639943260864,28,1,90,high_activity
U287,4,9.358844931302084,2,16,9,low_activity
U132,26,32.44782541200721,30,1,83,high_activity
U311,3,6.76308013856035,4,21,5,low_activity
U412,23,48.35157480612243,24,22,76,irregular_usage
U394,21,16.422737066564935,11,16,77,irregular_usage
U70,28,43.45272428958742,38,1,83,high_activity
U378,20,31.320133046805662,5,20,25,irregular_usage
U243,4,6.341795546780769,2,26,14,low_activity
U75,27,35.364681276639864,32,1,107,high_activity
U20,21,59.50269422684529,40,0,99,high_activity
U121,29,37.62490947209216,45,1,113,high_activity
U14,22,47.780901716381805,49,0,116,high_activity
U209,2,6.348422888911909,3,22,9,low_activity
U12,27,43.43349493719275,34,1,107,high_activity
U54,21,51.010734899183134,26,1,110,high_activity
U90,22,49.353100860916946,47,1,116,high_activity
U234,2,3.0199092986558593,3,25,4,low_activity
U416,6,29.333447071235142,15,16,23,irregular_usage
U481,21,51.69375087639524,21,27,71,irregular_usage
U458,18,26.544376183090296,15,3,69,irregular_usage
U66,29,59.20991510265952,21,1,93,high_activity
U494,15,29.44232901284601,35,11,72,irregular_usage
U231,1,8.570058437376103,2,19,9,low_activity
U349,14,22.53134656045904,47,6,45,irregular_usage
U318,2,2.292397342784759,2,18,12,low_activity
U104,26,39.92250914011541,31,0,113,high_activity
U297,3,5.351403596036383,1,15,12,low_activity
U483,22,30.361740434419623,22,27,89,irregular_usage
U437,24,48.53749506362557,14,24,61,irregular_usage
U72,24,35.27775758032036,20,0,119,high_activity
U144,26,39.84458002424196,43,0,84,high_activity
U186,3,6.595784905439295,4,19,10,low_activity
U377,7,37.178884759826246,48,21,42,irregular_usage
U382,14,17.355161700507324,2,25,45,irregular_usage
U500,19,15.092672606147419,18,1,80,irregular_usage
U128,24,38.89530430943395,45,1,110,high_activity
U281,4,4.681577933167207,1,17,9,low_activity
U108,27,32.26038768018385,33,1,94,high_activity
U30,23,51.33448597314053,31,0,81,high_activity
U23,29,53.95035374953653,48,1,108,high_activity
U19,25,44.10901903338115,32,1,112,high_activity
U118,26,36.2675615284608,48,0,99,high_activity
U468,18,47.20852244845986,43,0,43,irregular_usage
U3,27,59.932214551468256,49,0,117,high_activity
U184,3,2.53197013893422,3,20,12,low_activity
U189,3,8.362138494879122,2,24,7,low_activity
U171,2,7.452021777791434,3,22,11,low_activity
U340,3,2.216767940027868,3,17,3,low_activity
U44,28,35.24864781287808,33,0,92,high_activity
U88,20,43.031830965312864,37,1,102,high_activity
U95,26,47.160125976275495,30,1,118,high_activity
U50,27,46.748803608212924,45,0,85,high_activity
U283,2,2.037056184036823,3,16,14,low_activity
U339,1,7.271391535281211,1,16,8,low_activity
U433,16,14.048847635474488,11,8,23,irregular_usage
U358,14,13.374129112953488,18,28,64,irregular_usage
U357,14,15.007512212240504,30,9,39,irregular_usage
U285,1,5.1853495487275465,3,21,2,low_activity
U22,20,54.49295619658152,35,0,107,high_activity
U235,1,5.178298324482938,4,15,11,low_activity
U150,28,31.165042032882695,37,1,80,high_activity
U499,18,40.23403813683233,30,5,23,irregular_usage
U485,18,12.417160048104442,34,11,13,irregular_usage
U438,10,27.265262750133274,10,29,12,irregular_usage
U224,4,3.987913118515726,1,26,8,low_activity
U236,1,8.378362926236429,4,27,8,low_activity
U151,22,39.09796544019669,36,0,84,high_activity
U135,21,35.828218605361265,23,0,104,high_activity
U238,4,3.834011161861132,1,24,13,low_activity
U302,2,2.104755652706669,1,26,5,low_activity
U126,23,51.26732990730356,26,0,102,high_activity
U326,2,5.206104487002608,2,24,13,low_activity
U362,8,6.579307241282102,47,19,25,irregular_usage
U18,27,54.09419269139688,27,1,88,high_activity
U453,12,8.674837366500633,12,6,22,irregular_usage
U268,3,9.474936118152119,2,21,3,low_activity
U39,21,52.05648357722316,47,0,100,high_activity
U445,6,17.906671635056377,8,2,77,irregular_usage
U222,2,3.2133990378620094,2,19,6,low_activity
U32,22,40.45997961875188,35,1,109,high_activity
U122,29,38.85871765256816,49,1,85,high_activity
U444,19,53.470616116764376,26,17,30,irregular_usage
U174,2,5.772609508401267,3,15,4,low_activity
U387,8,21.844789588555344,25,25,74,irregular_usage
U172,4,8.081822879117492,3,25,7,low_activity
U477,6,51.830284614748074,36,6,18,irregular_usage
U278,4,6.730203485959434,2,19,8,low_activity
U114,22,41.84074400428417,42,0,89,high_activity
U124,26,55.46009384774023,38,0,92,high_activity
U334,2,7.151996345912126,1,28,11,low_activity
U315,4,9.18443431552571,1,29,5,low_activity
U153,25,39.799537253881226,43,0,105,high_activity
U464,7,6.833571346677148,23,13,69,irregular_usage
U273,4,8.711184691567473,2,20,8,low_activity
U271,4,2.905904366726042,3,24,14,low_activity
U431,7,16.87716624619388,38,10,42,irregular_usage
U11,23,45.92803749951409,20,0,87,high_activity
U226,2,2.268259477886235,1,28,8,low_activity
U353,9,11.635787702153017,1,12,56,irregular_usage
U288,2,4.77076795492769,4,29,8,low_activity
U351,10,8.928924857751037,47,9,86,irregular_usage
U473,8,10.595980969886394,16,0,40,irregular_usage
U476,20,31.5584764000516,25,8,82,irregular_usage
U269,3,9.40454810325421,1,15,2,low_activity
U258,2,9.4569462598689,3,23,7,low_activity
U347,15,30.885582169235573,38,29,53,irregular_usage
U140,23,30.82850315621114,23,0,108,high_activity
U472,24,15.292060501838412,43,7,59,irregular_usage
U489,17,52.590589271161946,46,5,61,irregular_usage
U266,1,5.393045370419088,1,29,11,low_activity
U255,3,6.891633883477183,4,22,5,low_activity
U190,4,3.6130185603819562,3,18,4,low_activity
U119,26,50.13430550472152,45,0,103,high_activity
U217,4,8.352201514162367,1,23,5,low_activity
U169,26,52.32127928997346,39,1,101,high_activity
U443,10,24.554076832588034,21,20,17,irregular_usage
U78,28,51.62819772756388,43,1,118,high_activity
U324,3,6.19512215462064,2,15,13,low_activity
U292,2,3.7968385835198557,1,17,13,low_activity
U49,26,58.96258053866381,35,0,100,high_activity
U329,2,3.455425043962169,4,16,3,low_activity
U360,11,36.821512477181834,26,23,21,irregular_usage
U487,10,53.25593482180228,4,20,49,irregular_usage
U136,29,32.12822750999783,44,1,82,high_activity
U223,3,4.493776542364386,2,26,7,low_activity
U337,2,3.249220778929523,2,27,1,low_activity
U220,1,9.151140664407661,1,17,11,low_activity
U368,6,40.70434660662139,25,11,32,irregular_usage
U111,20,38.054245706704705,38,1,84,high_activity
U38,26,50.270703511178425,33,0,90,high_activity
U488,15,5.246999046720481,48,7,26,irregular_usage
U320,3,6.518729066100931,1,20,13,low_activity
U411,19,7.005459570624124,1,0,15,irregular_usage
U352,11,24.846163810079805,34,6,40,irregular_usage
U350,8,6.660155439568328,22,11,78,irregular_usage
U390,22,37.935388775043805,9,9,61,irregular_usage
U261,2,9.379995049418365,1,25,3,low_activity
U51,22,56.479090295680194,45,0,107,high_activity
U28,22,39.778767156056546,42,0,84,high_activity
U391,8,29.90978582265695,13,7,71,irregular_usage
U211,4,6.993903967311937,3,15,9,low_activity
U139,25,56.598514468519795,44,0,106,high_activity
U228,3,8.099669485925524,3,16,14,low_activity
U366,16,40.453025972545824,27,21,25,irregular_usage
U429,24,50.45162603328205,35,27,34,irregular_usage
U428,18,40.79124823410443,49,2,75,irregular_usage
U427,19,11.578384256362991,32,14,34,irregular_usage
U148,28,55.81213854935026,35,0,100,high_activity
U498,16,20.396497079559545,36,21,36,irregular_usage
U441,7,34.64754257174637,9,2,34,irregular_usage
U152,26,46.112472815899665,26,1,91,high_activity
U109,25,39.170910578615455,21,1,109,high_activity
U385,19,15.960699367902215,33,9,11,irregular_usage
U43,29,36.85650065391899,49,1,106,high_activity
U450,19,53.491052253927236,29,8,69,irregular_usage
U420,17,18.841389861752578,15,0,44,irregular_usage
U333,4,4.16595738514843,3,16,8,low_activity
U8,26,40.35213744080049,20,1,107,high_activity
U101,21,56.50482066798777,27,0,109,high_activity
U87,22,57.18296363155662,31,0,96,high_activity
U69,26,44.568412607586794,45,0,92,high_activity
U479,15,11.10549570050134,15,12,82,irregular_usage
U344,20,32.982434174345705,8,3,39,irregular_usage
U343,5,40.1232485272052,1,12,44,irregular_usage
U401,16,6.5326251102903035,19,18,69,irregular_usage
U490,5,36.95599689077502,27,7,61,irregular_usage
U200,3,5.513079268561747,4,27,2,low_activity
U214,1,7.021664424571343,1,25,12,low_activity
U264,4,6.610306881334505,1,27,1,low_activity
U290,2,7.900009984877987,2,18,11,low_activity
U247,1,9.267604490669026,4,22,9,low_activity
U203,2,4.411022993313137,1,23,14,low_activity
U284,2,4.6679933735291534,1,25,5,low_activity
U277,2,6.150704457008577,4,29,13,low_activity
U455,21,30.988697427800883,34,27,87,irregular_usage
U486,19,54.33150614794234,14,26,13,irregular_usage
U478,12,6.967177033425482,11,3,30,irregular_usage
U10,24,50.421163546643,45,0,105,high_activity
U97,28,31.308113152633013,31,0,113,high_activity
U29,26,36.60723142696645,22,1,104,high_activity
U48,23,59.887610992737734,31,0,80,high_activity
U60,29,58.06904982662843,42,0,116,high_activity
U130,26,37.68620830783374,37,1,95,high_activity
U129,26,42.5934256933883,40,0,90,high_activity
U425,24,36.57801100462603,33,15,29,irregular_usage
U393,16,40.96008891361319,41,15,35,irregular_usage
U120,28,40.75940343888492,29,0,84,high_activity
U17,21,37.264798148322775,44,0,96,high_activity
U192,2,3.3141263834479435,4,18,1,low_activity
U105,27,46.5829490050647,48,0,117,high_activity
U113,24,41.18060601282148,22,1,83,high_activity
U397,22,37.516284317346845,38,4,44,irregular_usage
U448,16,43.67365628433003,6,28,77,irregular_usage
U21,24,41.96473327333659,20,1,92,high_activity
U42,21,50.87353198035247,36,0,101,high_activity
U422,11,50.61816728083455,19,20,11,irregular_usage
U413,15,33.93377042861967,7,17,89,irregular_usage
U436,9,17.361553720158852,46,28,63,irregular_usage
U221,1,8.308777689796246,4,16,12,low_activity
U233,3,8.771618333876145,3,25,4,low_activity
U227,2,6.559117478970532,4,20,11,low_activity
U232,4,2.885053895641658,3,26,7,low_activity
U82,28,49.08997854557686,36,1,91,high_activity
U252,1,3.2268112249286416,1,19,3,low_activity
U112,22,44.55839622828947,37,1,108,high_activity
U52,20,35.66121325024138,35,1,96,high_activity
U34,22,58.21569793468812,24,0,112,high_activity
U196,3,4.87064387298802,2,25,13,low_activity
U282,3,8.422827588784092,2,22,4,low_activity
U117,29,32.112483925486316,27,0,96,high_activity
U497,21,6.498679493633897,42,2,16,irregular_usage
U256,4,2.144881470566724,3,23,5,low_activity
U308,4,2.682797344629151,3,25,6,low_activity
U493,12,30.77980142896251,28,21,59,irregular_usage
U191,1,3.309247542925636,4,29,5,low_activity
U395,14,54.816695802837096,4,25,64,irregular_usage
U188,3,3.118179013010316,4,15,9,low_activity
U465,24,41.82010075328203,6,3,32,irregular_usage
U164,23,59.08610601342477,28,1,115,high_activity
U160,27,42.34061715170036,32,0,101,high_activity
U173,3,6.765109924862754,4,18,14,low_activity
U338,4,7.72777783077918,1,27,6,low_activity
U181,4,7.846939801629154,3,21,12,low_activity
U480,17,27.609951414171764,4,16,37,irregular_usage
U242,3,7.5515875557368,1,29,13,low_activity
U474,13,18.48748057584948,47,26,65,irregular_usage
U213,1,9.5186569889078,3,27,4,low_activity
U13,27,46.586792672139836,21,0,107,high_activity
U65,21,58.20400327373335,23,1,100,high_activity
U389,8,44.484925357123956,13,28,76,irregular_usage
U423,19,15.533109450283328,29,16,44,irregular_usage
U376,17,27.615914225915006,14,21,41,irregular_usage
U314,2,3.679244744764686,1,21,6,low_activity
U471,16,48.41356402566293,23,8,20,irregular_usage
U138,24,31.523055931181908,48,0,82,high_activity
U149,23,37.50754081547592,23,0,85,high_activity
U79,20,39.24182375557167,35,0,105,high_activity
U230,4,4.73665398972726,3,17,2,low_activity
U246,2,3.4527817344114053,3,17,2,low_activity
U405,16,41.3584534883154,13,9,47,irregular_usage
U219,3,6.267688735810572,4,17,5,low_activity
U62,25,50.069647641426855,29,0,89,high_activity
U386,9,53.79326279095657,41,23,82,irregular_usage
U183,3,3.449864529325281,3,22,8,low_activity
U133,22,30.155545883219602,48,1,119,high_activity
U86,27,44.602264588783655,43,0,109,high_activity
U229,4,9.014125094093995,2,26,13,low_activity
